GEO UID,ProvCode,ProvNom,CDcode,CDnom,DAnom,Total,Car,Public,Walk,Bike,Other
24580267,24,Quebec,58,Longueuil,267,325,225,65,20,0,10
24580268,24,Quebec,58,Longueuil,268,195,130,45,0,10,10
24580269,24,Quebec,58,Longueuil,269,495,360,80,35,0,10
24580271,24,Quebec,58,Longueuil,271,380,290,40,30,10,10
24580273,24,Quebec,58,Longueuil,273,85,80,0,0,0,0
24580274,24,Quebec,58,Longueuil,274,310,270,30,10,0,0
24580275,24,Quebec,58,Longueuil,275,170,145,20,0,0,0
24580276,24,Quebec,58,Longueuil,276,100,85,10,0,0,0
24580277,24,Quebec,58,Longueuil,277,1025,885,85,25,0,25
24580278,24,Quebec,58,Longueuil,278,610,520,65,0,0,20
24580279,24,Quebec,58,Longueuil,279,200,155,25,10,0,0
24580280,24,Quebec,58,Longueuil,280,190,170,15,0,0,0
24580281,24,Quebec,58,Longueuil,281,485,380,95,10,0,0
24580282,24,Quebec,58,Longueuil,282,315,265,30,0,15,0
24580284,24,Quebec,58,Longueuil,284,110,85,15,15,0,0
24580285,24,Quebec,58,Longueuil,285,120,90,10,0,0,0
24580286,24,Quebec,58,Longueuil,286,220,165,40,0,0,0
24580287,24,Quebec,58,Longueuil,287,105,85,10,10,0,0
24580288,24,Quebec,58,Longueuil,288,120,100,10,0,0,0
24580289,24,Quebec,58,Longueuil,289,215,170,30,0,0,0
24580290,24,Quebec,58,Longueuil,290,180,155,15,0,0,0
24580293,24,Quebec,58,Longueuil,293,155,120,35,0,0,0
24580294,24,Quebec,58,Longueuil,294,150,125,25,0,0,0
24580295,24,Quebec,58,Longueuil,295,260,170,65,15,0,0
24580296,24,Quebec,58,Longueuil,296,170,115,50,10,0,0
24580297,24,Quebec,58,Longueuil,297,210,145,55,10,0,0
24580298,24,Quebec,58,Longueuil,298,230,175,55,0,0,0
24580299,24,Quebec,58,Longueuil,299,245,135,90,15,0,0
24580300,24,Quebec,58,Longueuil,300,245,200,40,10,0,0
24580302,24,Quebec,58,Longueuil,302,220,175,30,10,0,0
24580303,24,Quebec,58,Longueuil,303,160,130,20,0,0,10
24580304,24,Quebec,58,Longueuil,304,200,175,15,0,0,0
24580305,24,Quebec,58,Longueuil,305,120,110,10,0,0,0
24580306,24,Quebec,58,Longueuil,306,230,185,35,10,0,0
24580307,24,Quebec,58,Longueuil,307,255,210,20,25,0,0
24580308,24,Quebec,58,Longueuil,308,325,265,35,20,0,10
24580309,24,Quebec,58,Longueuil,309,155,125,15,0,0,0
24580310,24,Quebec,58,Longueuil,310,90,75,15,0,0,0
24580311,24,Quebec,58,Longueuil,311,190,155,25,0,0,0
24580312,24,Quebec,58,Longueuil,312,110,90,0,0,0,0
24580313,24,Quebec,58,Longueuil,313,230,190,20,0,0,0
24580314,24,Quebec,58,Longueuil,314,355,310,30,10,0,0
24580315,24,Quebec,58,Longueuil,315,200,170,15,15,0,0
24580316,24,Quebec,58,Longueuil,316,120,75,35,0,0,0
24580317,24,Quebec,58,Longueuil,317,200,160,20,10,0,0
24580318,24,Quebec,58,Longueuil,318,260,200,35,15,0,0
24580319,24,Quebec,58,Longueuil,319,165,120,30,10,0,0
24580320,24,Quebec,58,Longueuil,320,225,180,25,10,0,0
24580321,24,Quebec,58,Longueuil,321,170,140,20,0,0,0
24580322,24,Quebec,58,Longueuil,322,200,170,20,0,10,10
24580323,24,Quebec,58,Longueuil,323,160,110,45,0,0,0
24580324,24,Quebec,58,Longueuil,324,250,185,40,15,0,15
24580325,24,Quebec,58,Longueuil,325,275,200,40,30,10,0
24580326,24,Quebec,58,Longueuil,326,375,265,75,25,0,15
24580327,24,Quebec,58,Longueuil,327,345,240,70,25,10,0
24580328,24,Quebec,58,Longueuil,328,140,115,10,10,0,0
24580329,24,Quebec,58,Longueuil,329,420,330,55,15,15,10
24580332,24,Quebec,58,Longueuil,332,160,130,25,0,0,0
24580333,24,Quebec,58,Longueuil,333,205,185,15,0,0,0
24580334,24,Quebec,58,Longueuil,334,155,145,15,0,0,0
24580335,24,Quebec,58,Longueuil,335,210,165,20,0,15,0
24580336,24,Quebec,58,Longueuil,336,240,190,25,15,0,10
24580337,24,Quebec,58,Longueuil,337,105,90,15,0,0,0
24580338,24,Quebec,58,Longueuil,338,145,120,20,0,0,0
24580339,24,Quebec,58,Longueuil,339,205,160,25,15,0,0
24580340,24,Quebec,58,Longueuil,340,200,160,30,0,0,0
24580341,24,Quebec,58,Longueuil,341,135,100,30,10,0,0
24580342,24,Quebec,58,Longueuil,342,300,240,40,10,0,10
24580343,24,Quebec,58,Longueuil,343,165,155,10,0,0,0
24580344,24,Quebec,58,Longueuil,344,220,175,35,0,0,0
24580345,24,Quebec,58,Longueuil,345,135,85,30,0,0,15
24580346,24,Quebec,58,Longueuil,346,195,150,40,0,0,0
24580347,24,Quebec,58,Longueuil,347,195,165,30,0,0,0
24580348,24,Quebec,58,Longueuil,348,135,105,10,0,10,0
24580349,24,Quebec,58,Longueuil,349,405,355,40,10,0,0
24580350,24,Quebec,58,Longueuil,350,570,425,105,30,0,0
24580351,24,Quebec,58,Longueuil,351,155,150,0,0,0,0
24580352,24,Quebec,58,Longueuil,352,135,100,20,0,0,10
24580353,24,Quebec,58,Longueuil,353,235,180,45,10,0,0
24580354,24,Quebec,58,Longueuil,354,175,130,30,0,0,0
24580355,24,Quebec,58,Longueuil,355,115,95,15,0,0,0
24580356,24,Quebec,58,Longueuil,356,135,105,15,0,0,0
24580357,24,Quebec,58,Longueuil,357,110,85,0,0,0,0
24580358,24,Quebec,58,Longueuil,358,115,100,10,0,0,0
24580359,24,Quebec,58,Longueuil,359,150,105,35,10,0,0
24580360,24,Quebec,58,Longueuil,360,90,85,0,0,0,0
24580361,24,Quebec,58,Longueuil,361,155,130,20,0,0,0
24580362,24,Quebec,58,Longueuil,362,100,85,15,0,0,0
24580363,24,Quebec,58,Longueuil,363,225,185,25,15,0,0
24580364,24,Quebec,58,Longueuil,364,180,140,15,25,0,0
24580365,24,Quebec,58,Longueuil,365,180,140,35,10,0,0
24580366,24,Quebec,58,Longueuil,366,125,95,15,10,0,0
24580367,24,Quebec,58,Longueuil,367,65,45,10,0,0,0
24580368,24,Quebec,58,Longueuil,368,380,240,90,40,0,10
24580369,24,Quebec,58,Longueuil,369,115,80,20,0,0,0
24580370,24,Quebec,58,Longueuil,370,115,85,25,0,0,0
24580371,24,Quebec,58,Longueuil,371,55,50,0,0,0,0
24580372,24,Quebec,58,Longueuil,372,135,120,15,0,0,0
24580373,24,Quebec,58,Longueuil,373,75,50,10,10,0,0
24580374,24,Quebec,58,Longueuil,374,90,65,15,0,0,0
24580375,24,Quebec,58,Longueuil,375,85,70,10,0,0,0
24580376,24,Quebec,58,Longueuil,376,115,90,15,0,0,0
24580377,24,Quebec,58,Longueuil,377,165,115,35,0,0,0
24580378,24,Quebec,58,Longueuil,378,180,125,45,0,0,0
24580379,24,Quebec,58,Longueuil,379,85,55,20,0,10,0
24580380,24,Quebec,58,Longueuil,380,120,75,40,0,0,0
24580381,24,Quebec,58,Longueuil,381,150,140,10,0,0,0
24580382,24,Quebec,58,Longueuil,382,75,45,20,0,0,0
24580383,24,Quebec,58,Longueuil,383,345,275,65,0,0,15
24580384,24,Quebec,58,Longueuil,384,155,125,35,0,0,0
24580385,24,Quebec,58,Longueuil,385,340,255,60,10,0,15
24580386,24,Quebec,58,Longueuil,386,100,75,15,0,0,10
24580387,24,Quebec,58,Longueuil,387,65,65,0,0,0,0
24580388,24,Quebec,58,Longueuil,388,105,75,25,0,0,0
24580390,24,Quebec,58,Longueuil,390,245,210,15,10,0,0
24580391,24,Quebec,58,Longueuil,391,330,270,50,0,0,0
24580392,24,Quebec,58,Longueuil,392,185,135,35,0,0,0
24580395,24,Quebec,58,Longueuil,395,190,160,15,0,0,0
24580396,24,Quebec,58,Longueuil,396,240,210,20,0,0,0
24580398,24,Quebec,58,Longueuil,398,160,125,30,10,0,0
24580399,24,Quebec,58,Longueuil,399,210,175,25,10,0,0
24580400,24,Quebec,58,Longueuil,400,140,135,10,0,0,0
24580401,24,Quebec,58,Longueuil,401,180,150,20,0,0,10
24580403,24,Quebec,58,Longueuil,403,345,285,40,15,0,0
24580404,24,Quebec,58,Longueuil,404,90,85,0,0,0,0
24580405,24,Quebec,58,Longueuil,405,2280,1885,285,60,15,35
24580406,24,Quebec,58,Longueuil,406,235,200,25,0,0,0
24580408,24,Quebec,58,Longueuil,408,125,100,15,0,0,0
24580409,24,Quebec,58,Longueuil,409,100,75,25,0,0,0
24580410,24,Quebec,58,Longueuil,410,110,95,15,0,0,0
24580411,24,Quebec,58,Longueuil,411,85,55,25,0,0,0
24580412,24,Quebec,58,Longueuil,412,155,100,35,15,0,0
24580413,24,Quebec,58,Longueuil,413,270,225,25,25,0,0
24580414,24,Quebec,58,Longueuil,414,80,60,15,0,0,0
24580415,24,Quebec,58,Longueuil,415,65,45,15,0,0,0
24580416,24,Quebec,58,Longueuil,416,380,295,30,30,0,20
24580417,24,Quebec,58,Longueuil,417,80,60,10,0,0,10
24580419,24,Quebec,58,Longueuil,419,165,130,15,10,10,0
24580420,24,Quebec,58,Longueuil,420,105,80,15,0,0,0
24580421,24,Quebec,58,Longueuil,421,100,85,10,0,0,0
24580422,24,Quebec,58,Longueuil,422,425,350,50,10,15,0
24580423,24,Quebec,58,Longueuil,423,200,190,15,0,0,0
24580424,24,Quebec,58,Longueuil,424,180,160,15,0,0,0
24580428,24,Quebec,58,Longueuil,428,170,150,10,0,0,0
24580429,24,Quebec,58,Longueuil,429,430,360,45,10,10,15
24580430,24,Quebec,58,Longueuil,430,120,100,15,0,0,0
24580431,24,Quebec,58,Longueuil,431,95,75,15,0,0,0
24580432,24,Quebec,58,Longueuil,432,290,245,50,0,0,0
24580433,24,Quebec,58,Longueuil,433,280,220,45,0,0,10
24580434,24,Quebec,58,Longueuil,434,185,165,10,0,0,0
24580435,24,Quebec,58,Longueuil,435,695,560,110,15,0,10
24580436,24,Quebec,58,Longueuil,436,270,210,20,35,10,0
24580437,24,Quebec,58,Longueuil,437,275,225,40,10,0,0
24580440,24,Quebec,58,Longueuil,440,140,100,25,0,0,0
24580441,24,Quebec,58,Longueuil,441,290,205,50,35,0,0
24580442,24,Quebec,58,Longueuil,442,270,225,20,20,0,0
24580443,24,Quebec,58,Longueuil,443,145,115,25,0,0,10
24580444,24,Quebec,58,Longueuil,444,230,175,35,10,0,0
24580445,24,Quebec,58,Longueuil,445,190,150,30,10,0,0
24580446,24,Quebec,58,Longueuil,446,200,155,40,0,0,0
24580447,24,Quebec,58,Longueuil,447,155,150,10,0,0,0
24580448,24,Quebec,58,Longueuil,448,150,125,25,0,0,0
24580449,24,Quebec,58,Longueuil,449,175,145,20,0,0,10
24580450,24,Quebec,58,Longueuil,450,240,195,25,15,0,0
24580451,24,Quebec,58,Longueuil,451,170,155,15,0,0,0
24580452,24,Quebec,58,Longueuil,452,140,100,25,10,0,0
24580453,24,Quebec,58,Longueuil,453,150,135,0,0,0,0
